City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Naica,MX,91.83,few clouds,27.85,-105.4833,Departamentos Nicole
251,Lazaro Cardenas,MX,82.54,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
252,Melito Di Porto Salvo,IT,81.55,clear sky,37.9222,15.7714,B&B Nereidi
253,Bergerac,FR,64.62,scattered clouds,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
254,Svetlogorsk,BY,56.3,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
255,Sao Joao Da Barra,BR,71.15,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
256,Altea,ES,84.2,scattered clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
257,Iqaluit,CA,47.93,few clouds,63.7506,-68.5145,Frobisher Inn
258,Vestmanna,FO,45.52,overcast clouds,62.1564,-7.1664,Vestmanna Camping
259,Ukiah,US,98.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
260,Atar,MR,92.66,overcast clouds,20.5169,-13.0499,Oumou Elghoura
261,Seoul,KR,80.2,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
262,Berlevag,NO,55.2,overcast clouds,70.8578,29.0864,Kvitbrakka
264,Bajil,YE,86.85,overcast clouds,15.0584,43.2851,فندق حضرموت
265,Pacific Grove,US,72.01,scattered clouds,36.6177,-121.9166,Lovers Point Inn
266,Olafsvik,IS,52.05,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
267,Locri,IT,81.32,clear sky,38.2414,16.2623,Grand Hotel President
268,Hami,CN,81.95,few clouds,42.8,93.45,Laoyutang Resort
269,Bandarbeyla,SO,77.2,scattered clouds,9.4942,50.8122,JABIR HOTEL
270,Shingu,JP,85.6,overcast clouds,33.7333,135.9833,Shingu UI Hotel
271,Deputatskiy,RU,59.79,overcast clouds,69.3,139.9,Baza Otdykha
274,Ondjiva,AO,62.69,scattered clouds,-17.0667,15.7333,COMBUESA
275,Capaccio,IT,75.06,clear sky,40.4244,15.0809,"Residenza Giancesare - B&B, Casa Vacanze, Country house"
