City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Castro,BR,-24.7911,-50.0119,59.7,72,94,2.13,overcast clouds
248,Vila Velha,BR,-20.3297,-40.2925,71.55,88,20,4.61,few clouds
249,Naica,MX,27.85,-105.4833,91.83,21,16,15.57,few clouds
250,Okhotsk,RU,59.3833,143.3,62.2,71,56,5.14,broken clouds
251,Lazaro Cardenas,MX,17.9583,-102.2,82.54,75,100,8.43,overcast clouds
252,Melito Di Porto Salvo,IT,37.9222,15.7714,81.55,74,0,14.97,clear sky
253,Bergerac,FR,44.8333,0.5,64.62,77,40,8.05,scattered clouds
254,Svetlogorsk,BY,52.6333,29.7333,56.3,95,6,5.44,clear sky
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.15,82,2,12.39,clear sky
256,Altea,ES,38.5989,-0.0514,84.2,91,31,1.01,scattered clouds
257,Iqaluit,CA,63.7506,-68.5145,47.93,81,20,10.36,few clouds
258,Vestmanna,FO,62.1564,-7.1664,45.52,87,100,10.36,overcast clouds
259,Ukiah,US,39.1502,-123.2078,98.65,32,0,5.01,clear sky
260,Atar,MR,20.5169,-13.0499,92.66,40,97,8.61,overcast clouds
261,Seoul,KR,37.5683,126.9778,80.2,81,0,3.44,clear sky
262,Berlevag,NO,70.8578,29.0864,55.2,93,100,17.27,overcast clouds
263,Evensk,RU,61.95,159.2333,59.23,62,62,8.55,broken clouds
264,Bajil,YE,15.0584,43.2851,86.85,68,100,2.91,overcast clouds
265,Pacific Grove,US,36.6177,-121.9166,72.01,79,45,8.01,scattered clouds
266,Olafsvik,IS,64.8945,-23.7142,52.05,70,98,6.24,overcast clouds
267,Locri,IT,38.2414,16.2623,81.32,77,0,14.38,clear sky
268,Hami,CN,42.8,93.45,81.95,20,14,8.03,few clouds
269,Bandarbeyla,SO,9.4942,50.8122,77.2,72,48,28.36,scattered clouds
270,Shingu,JP,33.7333,135.9833,85.6,66,93,2.75,overcast clouds
271,Deputatskiy,RU,69.3,139.9,59.79,54,100,4.81,overcast clouds
272,San Benito,US,36.6166,-121.0844,86.86,24,0,8.55,clear sky
273,Airai,TL,-8.9266,125.4092,64.69,52,30,3.65,scattered clouds
274,Ondjiva,AO,-17.0667,15.7333,62.69,33,49,7.49,scattered clouds
275,Capaccio,IT,40.4244,15.0809,75.06,93,1,3.33,clear sky
276,Presidente Epitacio,BR,-21.7633,-52.1156,74.01,36,7,2.42,clear sky
277,Saskylakh,RU,71.9167,114.0833,69.98,72,92,6.58,overcast clouds
278,Bilibino,RU,68.0546,166.4372,53.47,44,44,8.86,scattered clouds
279,Sept-Iles,CA,50.2001,-66.3821,63.12,97,100,8.05,mist
280,Haicheng,CN,40.8516,122.7475,77.34,80,100,7.36,overcast clouds
281,Masakin,TN,35.7292,10.5808,88.0,83,0,3.44,clear sky
282,Nagato,JP,34.3833,131.2,80.31,82,29,4.14,scattered clouds
283,Goderich,CA,43.7501,-81.7165,68.92,56,0,3.44,clear sky
284,Aanekoski,FI,62.6946,25.818,65.68,14,100,8.95,overcast clouds
285,Erenhot,CN,43.6475,111.9767,75.22,42,99,6.87,overcast clouds
286,Kayerkan,RU,69.3497,87.7602,55.53,100,54,12.08,broken clouds
287,Omboue,GA,-1.5746,9.2618,71.8,85,72,6.06,broken clouds
288,Pisco,PE,-13.7,-76.2167,62.65,82,40,10.36,scattered clouds
289,Tessalit,ML,20.1986,1.0114,92.82,9,3,9.89,clear sky
290,Marrakesh,MA,31.6315,-8.0083,93.27,22,40,3.44,scattered clouds
291,Santa Cruz Do Rio Pardo,BR,-22.8989,-49.6325,68.54,49,36,5.3,scattered clouds
292,Trzebinia,PL,50.1593,19.4697,69.66,62,37,4.88,scattered clouds
293,Ulaangom,MN,49.9811,92.0667,60.39,49,30,4.59,scattered clouds
294,Fortuna Foothills,US,32.6578,-114.4119,103.21,28,65,7.0,broken clouds
295,Belmonte,BR,-15.8631,-38.8828,71.46,80,57,8.01,broken clouds
296,Port Hardy,CA,50.6996,-127.4199,71.78,68,20,12.66,fog
297,Kholm,RU,59.2667,32.85,57.94,97,34,1.74,scattered clouds
298,Zhigansk,RU,66.7697,123.3711,69.37,55,28,1.01,scattered clouds
299,Charters Towers,AU,-20.1,146.2667,67.17,66,0,5.68,clear sky
300,Flinders,AU,-34.5833,150.8552,62.06,88,84,4.0,broken clouds
301,Mayna,RU,54.1135,47.6231,58.78,96,71,3.85,broken clouds
302,Nabire,ID,-3.3667,135.4833,76.39,92,99,4.25,overcast clouds
303,Cibitoke,BI,-2.8833,29.25,62.6,67,53,3.8,broken clouds
304,Tommot,RU,58.9564,126.2925,79.34,58,54,3.69,broken clouds
